transactionId,accountId,_accountId,transactionDate,postDate,amount,transactionType,description,brokerage.displaySymbol,brokerage.quantity,brokerage.price,brokerage.fee,brokerage.settlementDate
900001,EXAMPLE,EXAMPLE,1704672000000,1704672000000,25000.0,Transfer,Transfer,,0,0.0,0.0,1704672000000
900002,EXAMPLE,EXAMPLE,1710115200000,1710115200000,-21612.0,Bought,Bought AAPL,AAPL,120,180.1,0.0,1710115200000
900003,EXAMPLE,EXAMPLE,1714608000000,1714608000000,-18608.0,Bought,Bought META,META,40,465.2,0.0,1714608000000
900004,EXAMPLE,EXAMPLE,1718323200000,1718323200000,30.0,Dividend,Dividend AAPL,AAPL,0,0.0,0.0,1718323200000
900005,EXAMPLE,EXAMPLE,1724025600000,1724025600000,16110.0,Sold,Sold META,META,-40,402.75,0.0,1724025600000
900006,EXAMPLE,EXAMPLE,1725408000000,1725408000000,-10440.0,Bought,Bought KHC,KHC,300,34.8,0.0,1725408000000
900007,EXAMPLE,EXAMPLE,1730937600000,1730937600000,-7104.0,Bought,Bought NVDA,NVDA,60,118.4,0.0,1730937600000
900008,EXAMPLE,EXAMPLE,1736899200000,1736899200000,-11640.0,Bought,Bought KO,KO,200,58.2,0.0,1736899200000
900009,EXAMPLE,EXAMPLE,1740009600000,1740009600000,8852.5,Sold,Sold TSLA,TSLA,-25,354.1,0.0,1740009600000
900010,EXAMPLE,EXAMPLE,1742256000000,1742256000000,8385.0,Sold,Sold NVDA,NVDA,-60,139.75,0.0,1742256000000
900011,EXAMPLE,EXAMPLE,1750377600000,1750377600000,-5981.25,Bought,Bought DE,DE,15,398.75,0.0,1750377600000
900012,EXAMPLE,EXAMPLE,1757030400000,1757030400000,9544.0,Sold,Sold AAPL,AAPL,-40,238.6,0.0,1757030400000
900013,EXAMPLE,EXAMPLE,1765411200000,1765411200000,97.0,Dividend,Dividend KO,KO,0,0.0,0.0,1765411200000
900014,EXAMPLE,EXAMPLE,1770076800000,1770076800000,12.45,Interest,Interest,,0,0.0,0.0,1770076800000
